step,n,wait_gain,output + t|r2,output + t|r2_sd,output + t|rho,output + t|rho_sd,hidden pca50|r2,hidden pca50|r2_sd,hidden pca50|rho,hidden pca50|rho_sd,output + t + hidden pca50|r2,output + t + hidden pca50|r2_sd,output + t + hidden pca50|rho,output + t + hidden pca50|rho_sd
5000,28845,0.1320698857307434,0.042971534385611555,0.0021770208114913554,0.18210920826044716,0.005661033156020103,0.06344561914306975,0.0077833800669205614,0.2097947160089414,0.015820369581008333,0.083807758451151,0.009276978756173998,0.24199408192311747,0.013958728586984513
10000,28845,0.1725924015045166,0.051482653260800225,0.004436439436230732,0.20781257745347684,0.010355501822099733,0.06150289332646034,0.007842034906452681,0.21973282995364563,0.01935985861608436,0.08482135678657272,0.006492299547102586,0.2564991263482527,0.016465845166450995
15000,28845,0.1945921927690506,0.06090046464561446,0.0032375947134028376,0.2328422158523384,0.006056136318542087,0.07045921475696319,0.006886197611194174,0.23983795876313407,0.014654859380117643,0.09361338919342659,0.009080615686651338,0.27778505153111693,0.013734109782054698
20000,28845,0.2095262110233307,0.06921242843819564,0.007269346191684998,0.24185751379095122,0.019347598952236415,0.07582266531002324,0.007563467165069068,0.2501925245831084,0.017747437245453218,0.10115267190835282,0.0073740394591696595,0.2895708251470563,0.01715715577758977
25000,28845,0.2193448543548584,0.07717037589050324,0.005747412822726237,0.25813215180343746,0.010741552684441623,0.0827454319367656,0.007608648561747869,0.26327610224512626,0.018678243221049926,0.1095730674003043,0.006709573189946963,0.30136276457521194,0.011977661954465325
30000,28845,0.22852550446987152,0.08208083947558727,0.004126263523357359,0.269387218818493,0.008270839527139666,0.08931551263169073,0.005434843649668006,0.28008511542113346,0.012517587356286794,0.11695965823498085,0.003618106383437598,0.3182372562385501,0.005927583741791842
